"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 13 16:37:39 BDT 2023","Thu Jul 13 16:37:54 BDT 2023","14726","Suite","Test","testcases.DashboardProfilePageTestCases","testcases.DashboardProfilePageTestCases","profilePictureCloseButtonTest","profilePictureCloseButtonTest",""
"passed","Thu Jul 13 16:36:07 BDT 2023","Thu Jul 13 16:36:11 BDT 2023","4718","Suite","Test","testcases.DashboardProfilePageTestCases","testcases.DashboardProfilePageTestCases","dashboardURLVerify","dashboardURLVerify",""
"passed","Thu Jul 13 16:39:52 BDT 2023","Thu Jul 13 16:40:03 BDT 2023","10449","Suite","Test","testcases.TemplatesTestCases","testcases.TemplatesTestCases","searchValidNameSelect","searchValidNameSelect",""
"passed","Thu Jul 13 16:25:30 BDT 2023","Thu Jul 13 16:25:44 BDT 2023","13996","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageFAQThirdQuestionAnswerVerify","landingPageFAQThirdQuestionAnswerVerify",""
"passed","Thu Jul 13 16:37:32 BDT 2023","Thu Jul 13 16:37:43 BDT 2023","10243","Suite","Test","testcases.DashboardProfilePageTestCases","testcases.DashboardProfilePageTestCases","personalSummrySuggestionClosebuttonVerify","personalSummrySuggestionClosebuttonVerify",""
"passed","Thu Jul 13 16:38:55 BDT 2023","Thu Jul 13 16:39:04 BDT 2023","9049","Suite","Test","testcases.TemplatesTestCases","testcases.TemplatesTestCases","filterByElement","filterByElement",""
"passed","Thu Jul 13 16:37:07 BDT 2023","Thu Jul 13 16:37:12 BDT 2023","5543","Suite","Test","testcases.DashboardProfilePageTestCases","testcases.DashboardProfilePageTestCases","personalSummaryEditButton","personalSummaryEditButton",""
"failed","Wed Jul 12 15:27:50 BDT 2023","Wed Jul 12 15:27:54 BDT 2023","4356","Default suite","Default test","testcases.PrivacyPoliceTestCases","testcases.PrivacyPoliceTestCases","GPDRBodyVerify","GPDRBodyVerify",""
"passed","Thu Jul 13 16:22:32 BDT 2023","Thu Jul 13 16:22:49 BDT 2023","16879","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerMailVerify","footerMailVerify",""
"passed","Thu Jul 13 16:22:22 BDT 2023","Thu Jul 13 16:22:41 BDT 2023","19643","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerLoginButtonTest","footerLoginButtonTest",""
"passed","Thu Jul 13 16:35:44 BDT 2023","Thu Jul 13 16:36:00 BDT 2023","16596","Suite","Test","testcases.FaqPageTestCases","testcases.FaqPageTestCases","faqPageQuest8QuestAnswerVerify","faqPageQuest8QuestAnswerVerify",""
"passed","Thu Jul 13 16:25:46 BDT 2023","Thu Jul 13 16:25:53 BDT 2023","6950","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageFAQVerify","landingPageFAQVerify",""
"passed","Thu Jul 13 16:29:15 BDT 2023","Thu Jul 13 16:29:24 BDT 2023","9008","Suite","Test","testcases.AboutTestCases","testcases.AboutTestCases","aboutUsWhyChooseSiteTittleVerify","aboutUsWhyChooseSiteTittleVerify",""
"passed","Thu Jul 13 16:33:27 BDT 2023","Thu Jul 13 16:33:38 BDT 2023","11813","Suite","Test","testcases.PrivacyPoliceTestCases","testcases.PrivacyPoliceTestCases","urlVerifyFromHomePage","urlVerifyFromHomePage",""
